longitude	latitude	speed
-122.677943	45.562693	9.8
-122.677343	45.562692	11.5
-122.659602	45.559133	4.064814814814815
-122.676798	45.562698	4.0117096018735365
-122.675692	45.562702	8.5
-122.675243	45.562703	7.2
-122.67477	45.562717	0.6909090909090909
-122.642485	45.559068	5.8
-122.674442	45.562705	4.6
-122.642195	45.559072	4.6
-122.641762	45.559068	6.4
-122.640908	45.559073	6.7
-122.640793	45.559073	2.4
-122.640577	45.55907	2.6
-122.640165	45.559065	6.2
-122.6397	45.559065	7
-122.639195	45.559063	7.8
-122.638723	45.559057	7.2
-122.637882	45.559058	6.7
-122.637795	45.55906	1.8
-122.637523	45.559057	2.6666666666666665
-122.636963	45.55905	7.166666666666667
-122.636512	45.559045	6.8
-122.63608	45.559042	6.8
-122.635733	45.559038	5.4
-122.635605	45.55903	2.2
-122.635403	45.559018	2.6
-122.64635	45.559087	5.714285714285714
-122.635035	45.559012	5.703947368421052
-122.646693	45.559095	5.681528662420382
-122.647277	45.559097	4.5
-122.658395	45.55916	2.8915254237288135
-122.65839	45.55916	0.01
-122.658295	45.559157	1.4
-122.658002	45.55913	4.6
-122.65752	45.559127	7.4
-122.656635	45.559127	6.8
-122.656258	45.559125	5.8
-122.655787	45.559113	7.4
-122.65529	45.559117	7.6
-122.654753	45.559113	8.4
-122.654227	45.559115	8
-122.653693	45.559113	8.2
-122.653168	45.559117	8
-122.652667	45.559115	7.8
-122.652202	45.559115	7.2
-122.651775	45.559117	6.6
-122.651325	45.559118	6.8
-122.650862	45.55912	7.2
-122.650428	45.559113	6.6
-122.65002	45.559112	6.4
-122.64958	45.559135	0.5076923076923077
-122.649488	45.559132	1
-122.64919	45.559107	4
-122.648753	45.5591	6.8
-122.648357	45.5591	6.2
-122.647965	45.559098	6
-122.646975	45.559098	5.394436997319035
-122.634897	45.559095	5.568862275449102
-122.634887	45.559137	1
-122.634887	45.559137	0
-122.625382	45.562777	6.666666666666667
-122.624643	45.56278	11.4
-122.623985	45.562782	10.4
-122.623323	45.562788	10
-122.622603	45.562793	11.2
-122.621917	45.562802	10.8
-122.621305	45.562815	9.4
-122.620758	45.562827	8.6
-122.620147	45.562827	9.2
-122.619367	45.562825	12
-122.618483	45.562818	13.6
-122.617595	45.562803	13.8
-122.616722	45.562807	13.4
-122.615858	45.562803	13.4
-122.615063	45.562805	12.4
-122.614247	45.5628	12.4
-122.61338	45.562795	13.4
-122.612528	45.562792	13.2
-122.61168	45.562785	13.2
-122.61084	45.562782	12.8
-122.610028	45.562778	12.6
